"size_log","size_raw_cm","expected_remaining_lifetime","stable_distribution","reproductive_value"
0.027258275617938,1.0276331810865,402.775720855284,0.216993291448048,0.0971221725868175
0.081774826853814,1.08521142184564,322.221857126637,0.172797773991801,0.0970264180997758
0.13629137808969,1.14601576883601,256.587193569123,0.136839312486485,0.0969232863448003
0.190807929325566,1.21022698064415,203.452993583152,0.107775997051164,0.0968125454855059
0.245324480561442,1.27803594375204,160.707829273922,0.0844372688659216,0.0966939400713321
0.299841031797318,1.34964424000265,126.529229389899,0.0658135423392543,0.0965671885184901
0.354357583033194,1.42526474586049,99.3608433843546,0.051043359379653,0.0964319803441917
0.40887413426907,1.50512226524879,77.8869932188155,0.0393991166528064,0.0962879731533891
0.463390685504946,1.58945419784445,61.006150433041,0.0302722198078125,0.0961347893880115
0.517907236740822,1.67851124481753,47.8045483280821,0.0231583356175665,0.0959720128634789
0.572423787976698,1.77255815411337,37.5308340670746,0.0176432427995032,0.0957991851371743
0.626940339212574,1.87187450749271,29.572393914573,0.0133896309488319,0.0956158017793557
0.68145689044845,1.97675555166975,23.4337527762978,0.0101250678620008,0.0954213086494721
0.735973441684326,2.08751307601874,18.7172588017292,0.00763124969869635,0.0952150983203729
0.790489992920202,2.2044763394585,15.1061141656327,0.00573456538125468,0.0949965068393142
0.845006544156078,2.32799304927025,12.3497011764141,0.00429794461327071,0.0947648110668613
0.899523095391954,2.45843039475843,10.2510741165061,0.00321391540548671,0.0945192268903775
0.95403964662783,2.59617613882767,8.65643654303857,0.00239876913026874,0.0942589086637205
1.00855619786371,2.74163977072063,7.44639583133349,0.00178771589840389,0.0939829502729698
1.06307274909958,2.89525372334378,6.52877641261287,0.00133090760264816,0.0936903882613359
1.11758930033546,3.0574746587998,5.8327758052001,0.000990207713142299,0.0933802074547903
1.17210585157133,3.22878482594839,5.30425916310551,0.000736593608636547,0.0930513495022479
1.22662240280721,3.40969349403107,4.90200536060812,0.000548087042911462,0.092702724669466
1.28113895404309,3.60073846662201,4.59473798079994,0.000408119823309285,0.0923332270957458
1.33565550527896,3.80248768040535,4.35879600506317,0.000304253821401166,0.0919417535337026
1.39017205651484,4.01554089353202,4.17632009604112,0.00022718626173053,0.0915272253493656
1.44468860775071,4.24053146857507,4.03385018590067,0.000169982322660264,0.0910886132774343
1.49920515898659,4.47812825538396,3.921248057718,0.000127487122459984,0.0906249641303677
1.55372171022247,4.72903757943499,3.83087446127819,9.58780026784287e-05,0.0901354283854593
1.60823826145834,4.99400534158905,3.75696396502569,7.23256244231543e-05,0.0896192873617996
1.66275481269422,5.2738192354986,3.6951522857256,5.47388055109266e-05,0.0890759785884188
1.71727136393009,5.56931108925588,3.6421204186887,4.15733412952567e-05,0.0885051179857654
1.77178791516597,5.88135933824363,3.5953277252226,3.16893900203727e-05,0.0879065176477369
1.82630446640185,6.2108916365394,3.55281245055368,2.42454958949949e-05,0.0872801983113788
1.88082101763772,6.55888761463688,3.51304317380519,1.8620099821245e-05,0.0866263960042441
1.9353375688736,6.92638179168209,3.47480864640164,1.43535706606031e-05,0.0859455628156345
1.98985412010947,7.31446665088211,3.43713654955966,1.11054884543322e-05,0.0852383621890735
2.04437067134535,7.72429588722883,3.39923406357801,8.62322026451437e-06,0.0845056595230953
2.09888722258122,8.15708783719244,3.3604449345966,6.71882987022847e-06,0.0837485091516475
2.1534037738171,8.61412910058058,3.32021906787202,5.25212128339699e-06,0.082968138928789
2.20792032505298,9.09677836533008,3.27809166880526,4.11818735187743e-06,0.0821659336603779
2.26243687628885,9.6064704466015,3.2336696741534,3.23826217848844e-06,0.0813434185217054
2.31695342752473,10.1447205521841,3.1866237310116,2.55299412482216e-06,0.0805022434006883
2.3714699787606,10.7131287868913,3.13668434268577,2.01749163138424e-06,0.0796441688432774
2.42598652999648,11.3133849093368,3.08364105071898,1.59766767093916e-06,0.0787710539830359
2.48050308123236,11.9472733552334,3.02734369502106,1.26753616304288e-06,0.0778848465381814
2.53501963246823,12.6166785421461,2.96770491639491,1.00720707140956e-06,0.0769875746786564
2.58953618370411,13.3235904714713,2.90470315912375,8.01395156615607e-07,0.0760813403191139
2.64405273493998,14.0701106442936,2.8383855120858,6.38307153502069e-07,0.0751683131924789
2.69856928617586,14.8584583087087,2.7688698070719,5.08808439905165e-07,0.0742507249111782
2.75308583741174,15.6909770571827,2.69634548056786,4.0579671116997e-07,0.0733308621352075
2.80760238864761,16.5701417935622,2.62107280453342,3.23729450328397e-07,0.0724110579422476
2.86211893988349,17.4985660904442,2.54338020369358,2.58266042856162e-07,0.0714936805374653
2.91663549111936,18.4790099587807,2.46365949972943,2.0599565246676e-07,0.0705811185493599
2.97115204235524,19.5143880528126,2.38235905236769,1.64229486125237e-07,0.0696757623296852
3.02566859359112,20.6077783347265,2.29997489786188,1.3084158397645e-07,0.0687799809028453
3.08018514482699,21.7624312247912,2.21704010986047,1.04146318169525e-07,0.0678960944818357
3.13470169606287,22.9817792641768,2.13411271900552,8.28037687085642e-08,0.0670263427685472
3.18921824729874,24.2694473191799,2.05176261907166,6.57463510000671e-08,0.0661728495677592
3.24373479853462,25.6292633571923,1.97055795339676,5.21217067007962e-08,0.0653375845463301
3.2982513497705,27.0652698264459,1.8910515117578,4.12480880121138e-08,0.06452232324161
3.35276790100637,28.5817356733648,1.81376767269802,3.2579375863333e-08,0.0637286066470256
3.40728445224225,30.1831690332484,1.73919039979422,2.56775548932591e-08,0.0629577018622186
3.46180100347812,31.8743306320135,1.66775274482907,2.01909816431306e-08,0.0622105653784134
