"size","observed","bootstrap_mean","lower_CI","upper_CI"
0.63,37.5997767242086,27.8011383179751,13.1089508282748,56.9925576612169
2.40363636363636,41.7579441118315,32.7604025246945,15.0353797087058,66.812941912976
4.17727272727273,44.4556606226172,37.0732001628465,16.7549313982437,72.913203586631
5.95090909090909,45.3969141295361,40.2676456484216,18.1331976350006,74.107812141512
7.72454545454545,44.5107137203061,41.9923398188748,19.0583055948711,73.772937940881
9.49818181818182,41.9602477845091,42.087330327993,19.5598387281383,74.6982732195621
11.2718181818182,38.1016142277599,40.6078118194412,20.2358946681596,72.9288864584086
13.0454545454545,33.4054235153945,37.7966763170167,20.3141428975455,68.9759798015856
14.8190909090909,28.3643908679288,34.0198391510673,19.4726892187151,63.6410559822028
16.5927272727273,23.4114099489989,29.6878851322914,16.7147320349124,57.055257619752
18.3663636363636,18.8659565490363,25.1865255059071,13.1169604773479,49.7333966530538
20.14,14.9154932103123,20.8297825433731,10.6458435428278,42.4588795486241
21.9136363636364,11.6275009041193,16.8392927450427,7.41961897643055,35.6457935097426
23.6872727272727,8.98059189575046,13.3451597373105,4.88945637984741,29.3575623122596
25.4609090909091,6.9013608836826,10.400216630182,3.75944092626401,23.6320439726896
27.2345454545455,5.29638855091491,7.99979492255433,2.92477476299494,18.619658436966
29.0081818181818,4.07388028015568,6.1014010384989,2.24776986008175,14.4375656762992
30.7818181818182,3.15438948980428,4.64136481341849,1.75564868195426,11.1868567444363
32.5554545454545,2.47332696424269,3.54752911253531,1.44138545832291,8.54464875379716
34.3290909090909,1.97904267593052,2.74814312823957,1.24887397113831,6.46172479698647
36.1027272727273,1.62967488175722,2.17753003940763,1.13501060219613,4.86669520995005
37.8763636363636,1.39060131871765,1.7791706776561,1.07024553330197,3.52970174796999
39.65,1.23301933345635,1.5068203495404,1.03460057290043,2.59844620273166
41.4236363636364,1.1333747532033,1.32424246740991,1.01616541059761,1.98873821145079
43.1972727272727,1.07311008339739,1.20409394110551,1.00675022770167,1.64386592265037
44.9709090909091,1.0383248687932,1.12641263115147,1.00258114728342,1.43331814747385
46.7445454545455,1.01919129661448,1.07703968395656,1.00089659844758,1.29120878141763
48.5181818181818,1.00917232581127,1.04618339110289,1.00028896584466,1.19302603508056
50.2918181818182,1.00418140316723,1.0272224515592,1.00008647534301,1.12000387712082
52.0654545454545,1.0018172389314,1.01576965489185,1.00002405558261,1.07173943236757
53.8390909090909,1.00075262357224,1.00897295219262,1.00000622915481,1.04208300815609
55.6127272727273,1.00029695065704,1.00501221636903,1.00000150400612,1.02421854863764
57.3863636363636,1.00011158967091,1.00274713269562,1.00000033920399,1.01366926603522
59.16,1.00003993103046,1.00147664990217,1.0000000715909,1.00756355070829
60.9336363636364,1.00001360421722,1.00077810441088,1.00000001416376,1.00411955499465
62.7072727272727,1.00000441220084,1.00040178699097,1.00000000263048,1.00222134376639
64.4809090909091,1.0000013620954,1.00020323760235,1.00000000045903,1.00117053513053
66.2545454545455,1.00000040021173,1.00010067626967,1.0000000000753,1.00060244678231
68.0281818181818,1.00000011190969,1.00004882430298,1.00000000001161,1.00030269474887
69.8018181818182,1.0000000297791,1.0000231740978,1.00000000000174,1.00014840665363
71.5754545454545,1.00000000754043,1.00001076207401,1.00000000000024,1.00007097368128
73.3490909090909,1.00000000181676,1.00000488852192,1.00000000000003,1.00003309719299
75.1227272727273,1.00000000041648,1.00000217121051,1,1.00001504556533
76.8963636363636,1.00000000009084,1.00000094257464,1,1.0000066656146
78.67,1.00000000001885,1.00000039981531,1,1.00000287734658
80.4436363636364,1.00000000000372,1.00000016564157,1,1.000001209995
82.2172727272727,1.0000000000007,1.00000006700089,1,1.00000049561557
83.9909090909091,1.00000000000012,1.00000002645025,1,1.00000019770453
85.7645454545455,1.00000000000002,1.00000001018727,1,1.00000007679755
87.5381818181818,1,1.00000000382659,1,1.00000002904646
89.3118181818182,1,1.00000000140136,1,1.00000001069587
91.0854545454545,1,1.00000000050019,1,1.00000000383428
92.8590909090909,1,1.00000000017396,1,1.00000000133804
94.6327272727273,1,1.00000000005893,1,1.00000000045451
96.4063636363636,1,1.00000000001944,1,1.00000000015028
98.18,1,1.00000000000625,1,1.00000000004836
99.9536363636364,1,1.00000000000195,1,1.00000000001515
101.727272727273,1,1.00000000000059,1,1.00000000000462
