"Metric","Estimate"
"Population growth rate (λ)",0.9647
"Mean size (stable distribution)",0.1871
"Mean reproductive size (fecundity-weighted proxy)",4.8018
"Variance in reproductive size (proxy)",0.1034
"Expected remaining lifetime (median size)",2.7689
"Maximum reproductive value (scaled)",-Inf
